t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.000656,0.016275168,1.2379600000000002,0.013146764031148015,0.1,1.49512077294686,3.4932728339879905e-19,4.303360000000001e+41,4.30336e+33,5.189228801589404e+19
0.0006569999999999999,0.016306537000000003,1.238245,0.013169071548845343,0.1,1.4945624622812312,3.4878937276108084e-19,4.316489999999999e+41,4.316489999999999e+33,5.18404216653756e+19
0.000658,0.016337932,1.23853,0.013191389792738166,0.1,1.4940048250904705,3.482528729814617e-19,4.3296399999999994e+41,4.329639999999999e+33,5.178860715528315e+19
0.000659,0.016369352999999996,1.238815,0.013213718755423527,0.1,1.4934478601567212,3.47717778849062e-19,4.3428099999999996e+41,4.342809999999999e+33,5.173684443380217e+19
0.00066,0.0164008,1.2391,0.013236058429505286,0.1,1.4928915662650601,3.4718408517792096e-19,4.356e+41,4.356e+33,5.168513344916992e+19
0.000661,0.016432273,1.239385,0.01325840880759409,0.1,1.4923359422034919,3.4665178680685066e-19,4.369210000000001e+41,4.3692100000000004e+33,5.163347414967544e+19
0.0006619999999999999,0.016463771999999998,1.23967,0.013280769882307386,0.1,1.4917809867629364,3.461208785992892e-19,4.3824399999999996e+41,4.382439999999999e+33,5.158186648365942e+19
0.000663,0.016495297,1.239955,0.013303141646269421,0.1,1.491226698737222,3.455913554431569e-19,4.395689999999999e+41,4.395689999999999e+33,5.1530310399514165e+19
0.000664,0.016526848,1.24024,0.013325524092111204,0.1,1.490673076923077,3.450632122507121e-19,4.4089599999999995e+41,4.4089599999999986e+33,5.147880584568362e+19
0.000665,0.016558424999999998,1.240525,0.013347917212470525,0.1,1.4901201201201202,3.4453644395840934e-19,4.422250000000001e+41,4.42225e+33,5.1427352770663195e+19
0.0006659999999999999,0.016590028,1.24081,0.013370320999991941,0.1,1.4895678271308523,3.440110455267557e-19,4.435559999999999e+41,4.4355599999999986e+33,5.1375951122999845e+19
0.000667,0.016621656999999998,1.2410949999999998,0.013392735447326757,0.1,1.489016196760648,3.4348701194017255e-19,4.448889999999999e+41,4.448889999999999e+33,5.132460085129188e+19
0.000668,0.016653312,1.2413800000000001,0.013415160547133027,0.1,1.4884652278177462,3.429643382068539e-19,4.462239999999999e+41,4.462239999999999e+33,5.127330190418905e+19
0.000669,0.016684993,1.241665,0.013437596292075558,0.1,1.4879149191132415,3.424430193586286e-19,4.475610000000001e+41,4.47561e+33,5.12220542303924e+19
